timestamp,subcarrier_0,subcarrier_1,subcarrier_2,subcarrier_3,subcarrier_4,subcarrier_5,subcarrier_6,subcarrier_7,subcarrier_8,subcarrier_9,subcarrier_10,subcarrier_11,subcarrier_12,subcarrier_13,subcarrier_14,subcarrier_15,subcarrier_16,subcarrier_17,subcarrier_18,subcarrier_19,subcarrier_20,subcarrier_21,subcarrier_22,subcarrier_23,subcarrier_24,subcarrier_25,subcarrier_26,subcarrier_27,subcarrier_28,subcarrier_29,subcarrier_30,subcarrier_31,subcarrier_32,subcarrier_33,subcarrier_34,subcarrier_35,subcarrier_36,subcarrier_37,subcarrier_38,subcarrier_39,subcarrier_40,subcarrier_41,subcarrier_42,subcarrier_43,subcarrier_44,subcarrier_45,subcarrier_46,subcarrier_47,subcarrier_48,subcarrier_49,subcarrier_50,subcarrier_51,subcarrier_52,subcarrier_53,subcarrier_54,subcarrier_55,subcarrier_56,subcarrier_57,subcarrier_58,subcarrier_59,subcarrier_60,subcarrier_61,subcarrier_62,subcarrier_63
2025-05-21 03:17:55.352982,(-1+41j),(-1356-1552j),(-1469-1231j),(-1509-897j),(-1464-550j),(-1343-229j),(-1156+49j),(-925+298j),(-646+463j),(-333+572j),(-14+604j),(287+555j),(554+449j),(778+287j),(957+75j),(1074-166j),(1108-416j),(1075-666j),(978-895j),(835-1088j),(648-1241j),(437-1361j),(196-1385j),(-42-1372j),(-261-1297j),(-452-1188j),(-599-1042j),(-694-894j),(-749-751j),(4+1j),(22+11j),(25+14j),(18469+0j),(-12288-32640j),(1152+0j),(4+1j),(-84+1094j),(-67-1133j),(-233-1133j),(-394-1077j),(-531-988j),(-633-877j),(-685-745j),(-698-611j),(-663-471j),(-588-352j),(-482-260j),(-350-197j),(-195-174j),(-25-187j),(152-244j),(308-344j),(449-483j),(557-663j),(636-880j),(674-1120j),(639-1355j),(548-1588j),(404-1790j),(203-1980j),(-54-2125j),(-352-2165j),(-643-2118j),(-921-2002j)
2025-05-21 03:17:56.370384,(14+27j),(-2042-380j),(-1908-149j),(-1765+52j),(-1572+233j),(-1343+382j),(-1078+490j),(-793+553j),(-529+589j),(-252+569j),(18+506j),(262+410j),(479+276j),(652+112j),(799-78j),(881-274j),(931-473j),(916-654j),(869-828j),(786-973j),(677-1099j),(553-1228j),(409-1246j),(254-1264j),(111-1260j),(-27-1221j),(-140-1172j),(-229-1090j),(-289-1011j),(2+12j),(13+7j),(10-2j),(18469+0j),(-12288-32640j),(1152+0j),(-6-4j),(906-468j),(-906+558j),(-877+656j),(-818+746j),(-732+814j),(-643+853j),(-541+855j),(-432+806j),(-345+753j),(-262+661j),(-201+535j),(-153+399j),(-126+244j),(-120+73j),(-139-120j),(-190-313j),(-268-508j),(-375-685j),(-513-866j),(-669-1012j),(-848-1132j),(-1049-1208j),(-1246-1263j),(-1453-1264j),(-1646-1215j),(-1821-1117j),(-1944-963j),(-2044-804j)
2025-05-21 03:17:56.742947,(36+23j),(-1837+1032j),(-1563+1150j),(-1297+1200j),(-1021+1174j),(-766+1081j),(-551+941j),(-368+760j),(-257+571j),(-192+357j),(-186+147j),(-236-42j),(-333-191j),(-469-287j),(-626-333j),(-781-314j),(-916-235j),(-1008-109j),(-1053+43j),(-1046+206j),(-993+373j),(-888+538j),(-746+651j),(-570+731j),(-387+761j),(-212+739j),(-62+671j),(52+563j),(125+423j),(-1-6j),(-10-5j),(-6+4j),(18469+0j),(-12544-32640j),(1152+0j),(-4-6j),(687+302j),(-815-231j),(-909-130j),(-955+0j),(-958+136j),(-923+247j),(-861+332j),(-772+373j),(-675+371j),(-583+337j),(-509+271j),(-448+178j),(-425+60j),(-434-85j),(-474-234j),(-556-385j),(-676-519j),(-839-621j),(-1033-704j),(-1249-746j),(-1475-732j),(-1688-656j),(-1884-546j),(-2074-376j),(-2224-144j),(-2283+128j),(-2260+400j),(-2190+632j)
2025-05-21 03:17:57.107457,(39+16j),(-2640+833j),(-2369+958j),(-2063+1029j),(-1746+1034j),(-1426+972j),(-1124+859j),(-859+703j),(-641+503j),(-468+265j),(-351+14j),(-288-234j),(-284-464j),(-343-670j),(-454-839j),(-595-951j),(-757-998j),(-916-973j),(-1054-891j),(-1177-761j),(-1253-599j),(-1285-414j),(-1282-215j),(-1218-17j),(-1103+157j),(-961+301j),(-796+412j),(-607+488j),(-397+522j),(1-6j),(10-8j),(-2-6j),(18469+0j),(-12544-32640j),(1152+0j),(-3-5j),(1070-386j),(-1118+568j),(-1121+741j),(-1073+892j),(-985+1009j),(-884+1088j),(-776+1114j),(-659+1086j),(-560+1011j),(-481+894j),(-438+753j),(-434+588j),(-462+409j),(-522+212j),(-621+10j),(-757-183j),(-932-357j),(-1147-509j),(-1395-637j),(-1666-725j),(-1934-750j),(-2197-707j),(-2452-633j),(-2683-499j),(-2888-316j),(-3004-89j),(-3017+162j),(-2966+414j)
2025-05-21 03:17:57.454715,(38-15j),(1019+2629j),(1677+1966j),(2024+1196j),(2035+428j),(1764-200j),(1335-603j),(851-764j),(470-709j),(218-504j),(161-255j),(273-82j),(476-59j),(673-214j),(763-512j),(670-874j),(370-1191j),(-86-1338j),(-581-1264j),(-1026-983j),(-1324-527j),(-1411+9j),(-1235+543j),(-860+922j),(-389+1103j),(83+1066j),(468+846j),(701+495j),(746+90j),(-13-1j),(-1+10j),(2+6j),(18469+0j),(-12544-32640j),(1152+0j),(-6+2j),(636-1007j),(-241+1274j),(246+1355j),(735+1218j),(1124+893j),(1342+456j),(1366-3j),(1222-390j),(954-647j),(661-759j),(408-750j),(253-658j),(205-556j),(250-500j),(351-533j),(439-688j),(437-952j),(287-1276j),(-40-1587j),(-550-1789j),(-1183-1766j),(-1847-1476j),(-2403-928j),(-2774-131j),(-2822+812j),(-2478+1746j),(-1792+2479j),(-884+2909j)
2025-05-21 03:17:57.810579,(-8-21j),(2339-98j),(2011-730j),(1539-1201j),(960-1414j),(424-1408j),(-2-1218j),(-274-912j),(-379-615j),(-332-344j),(-184-180j),(-13-147j),(117-230j),(159-387j),(90-571j),(-95-708j),(-365-735j),(-637-622j),(-852-390j),(-962-78j),(-939+268j),(-783+586j),(-479+784j),(-139+857j),(182+782j),(428+604j),(555+356j),(548+119j),(441-53j),(-4+13j),2j,(1+4j),(18469+0j),(-12288-32640j),(1152+0j),(3+14j),(-817-58j),(898-227j),(848-545j),(646-824j),(347-995j),(22-1042j),(-281-961j),(-501-766j),(-618-548j),(-622-335j),(-551-179j),(-440-108j),(-344-128j),(-296-218j),(-337-353j),(-490-467j),(-745-498j),(-1039-398j),(-1342-158j),(-1569+234j),(-1632+753j),(-1466+1276j),(-1143+1825j),(-598+2236j),(116+2441j),(884+2353j),(1578+1988j),(2091+1401j)
2025-05-21 03:17:58.172459,(30+0j),(-1598+1391j),(-1315+1468j),(-1026+1484j),(-748+1423j),(-502+1297j),(-301+1128j),(-162+911j),(-82+697j),(-71+473j),(-122+273j),(-219+108j),(-353-4j),(-513-54j),(-678-38j),(-820+44j),(-913+177j),(-955+340j),(-932+511j),(-858+682j),(-721+824j),(-551+946j),(-349+988j),(-138+981j),(62+926j),(232+819j),(359+675j),(437+503j),(461+313j),-9j,(-12-5j),(-11+5j),(18469+0j),(-12544-32640j),(1152+0j),-9j,(701+414j),(-849-324j),(-959-206j),(-1013-69j),(-1020+68j),(-995+188j),(-942+279j),(-858+329j),(-772+354j),(-686+334j),(-619+284j),(-577+211j),(-555+120j),(-559+8j),(-598-117j),(-672-233j),(-782-325j),(-927-396j),(-1101-448j),(-1300-459j),(-1495-419j),(-1699-318j),(-1861-188j),(-2021-3j),(-2136+236j),(-2171+504j),(-2122+773j),(-2014+1021j)
2025-05-21 03:17:58.526878,(-4+15j),(-535-2070j),(-1003-1679j),(-1304-1209j),(-1403-703j),(-1322-247j),(-1102+100j),(-820+313j),(-522+365j),(-280+293j),(-137+136j),(-113-48j),(-202-192j),(-375-255j),(-580-204j),(-753-37j),(-839+224j),(-791+519j),(-619+788j),(-334+970j),(11+1031j),(348+972j),(642+749j),(816+457j),(858+131j),(783-165j),(610-381j),(386-480j),(173-466j),(4+1j),(17+3j),(14+0j),(18469+0j),(-12288-32640j),(1152+0j),-4j,(504+593j),(-739-478j),(-914-263j),(-984+17j),(-941+304j),(-808+547j),(-611+707j),(-394+781j),(-195+751j),(-55+676j),(15+586j),(20+513j),(-14+489j),(-67+521j),(-101+621j),(-77+781j),(44+957j),(266+1118j),(582+1219j),(965+1209j),(1374+1047j),(1743+738j),(2022+276j),(2143-288j),(2081-897j),(1798-1474j),(1318-1917j),(739-2207j)
2025-05-21 03:17:58.877422,(-28-4j),(2171-718j),(1906-927j),(1599-1072j),(1276-1125j),(970-1090j),(700-983j),(468-823j),(336-627j),(258-409j),(250-194j),(304-9j),(411+131j),(556+207j),(717+214j),(872+158j),(987+39j),(1061-123j),(1065-308j),(1012-501j),(902-675j),(771-838j),(550-907j),(333-934j),(124-897j),(-69-811j),(-225-689j),(-346-529j),(-427-350j),(-1+9j),(10-6j),(6-2j),(18469+0j),(-12288-32640j),(1152+0j),(-3+4j),(-280-809j),(451+814j),(610+774j),(753+698j),(860+590j),(938+466j),(963+340j),(947+222j),(880+119j),(797+50j),(701+22j),(599+40j),(503+102j),(419+202j),(357+339j),(340+500j),(375+680j),(475+856j),(622+1017j),(819+1159j),(1062+1241j),(1319+1247j),(1621+1197j),(1902+1068j),(2167+866j),(2355+591j),(2443+256j),(2447-81j)
2025-05-21 03:17:59.233496,(52-15j),(-829+1993j),(-376+1954j),(28+1789j),(341+1537j),(551+1235j),(632+905j),(614+595j),(519+363j),(358+191j),(166+109j),(-24+114j),(-177+201j),(-263+344j),(-280+521j),(-201+691j),(-50+817j),(157+888j),(384+865j),(599+765j),(777+593j),(902+376j),(926+122j),(882-129j),(761-340j),(595-494j),(407-567j),(242-560j),(116-502j),(-1+8j),(5+8j),(-1+6j),(18469+0j),(-12288-32640j),(1152+0j),(9+5j),(-407+678j),(309-827j),(153-942j),(-54-990j),(-264-964j),(-452-883j),(-587-748j),(-632-586j),(-641-445j),(-589-322j),(-502-251j),(-400-232j),(-297-271j),(-223-374j),(-195-519j),(-229-691j),(-348-863j),(-545-1008j),(-815-1106j),(-1142-1110j),(-1469-1004j),(-1765-787j),(-2038-488j),(-2236-96j),(-2323+374j),(-2253+861j),(-2020+1291j),(-1703+1648j)
