timestamp,subcarrier_0,subcarrier_1,subcarrier_2,subcarrier_3,subcarrier_4,subcarrier_5,subcarrier_6,subcarrier_7,subcarrier_8,subcarrier_9,subcarrier_10,subcarrier_11,subcarrier_12,subcarrier_13,subcarrier_14,subcarrier_15,subcarrier_16,subcarrier_17,subcarrier_18,subcarrier_19,subcarrier_20,subcarrier_21,subcarrier_22,subcarrier_23,subcarrier_24,subcarrier_25,subcarrier_26,subcarrier_27,subcarrier_28,subcarrier_29,subcarrier_30,subcarrier_31,subcarrier_32,subcarrier_33,subcarrier_34,subcarrier_35,subcarrier_36,subcarrier_37,subcarrier_38,subcarrier_39,subcarrier_40,subcarrier_41,subcarrier_42,subcarrier_43,subcarrier_44,subcarrier_45,subcarrier_46,subcarrier_47,subcarrier_48,subcarrier_49,subcarrier_50,subcarrier_51,subcarrier_52,subcarrier_53,subcarrier_54,subcarrier_55,subcarrier_56,subcarrier_57,subcarrier_58,subcarrier_59,subcarrier_60,subcarrier_61,subcarrier_62,subcarrier_63
2025-05-21 03:01:23.577509,(23-12j),(-511+1472j),(224+1329j),(687+905j),(813+392j),(662+1j),(397-158j),(186-108j),(149+42j),(287+139j),(507+58j),(654-220j),(582-604j),(257-927j),(-260-1044j),(-811-838j),(-1173-322j),(-1200+341j),(-838+913j),(-222+1207j),(458+1107j),(987+645j),(1105+1j),(851-590j),(327-902j),(-235-856j),(-622-524j),(-730-99j),(-593+251j),(-1-7j),(1-9j),(4-5j),(18469+0j),(-13824-32640j),(128+0j),(-2+16j),(-486-500j),(739+290j),(865-53j),(785-432j),(548-725j),(212-874j),(-125-871j),(-418-754j),(-614-568j),(-758-356j),(-848-115j),(-894+163j),(-849+475j),(-689+786j),(-392+1041j),(12+1187j),(475+1152j),(911+936j),(1249+556j),(1422+60j),(1396-498j),(1165-1055j),(678-1481j),(15-1708j),(-755-1626j),(-1424-1149j),(-1781-375j),(-1722+466j)
2025-05-21 03:01:24.588898,(-45-22j),(2180-1690j),(1512-2131j),(765-2318j),(56-2227j),(-528-1914j),(-906-1456j),(-1065-957j),(-1039-503j),(-851-166j),(-596+7j),(-339+28j),(-150-88j),(-93-276j),(-167-459j),(-360-572j),(-608-559j),(-848-413j),(-1017-155j),(-1062+167j),(-982+489j),(-778+766j),(-480+920j),(-162+952j),(124+862j),(323+685j),(431+484j),(454+254j),(382+51j),(-3-2j),(-1+5j),(2-6j),(18469+0j),(-12800-32640j),(1152+0j),(3+11j),(-710-8j),(734-264j),(637-532j),(414-752j),(117-877j),(-187-872j),(-450-770j),(-631-588j),(-730-383j),(-753-195j),(-731-51j),(-696+43j),(-667+102j),(-673+143j),(-721+198j),(-801+289j),(-881+440j),(-942+677j),(-930+991j),(-803+1346j),(-521+1695j),(-90+1957j),(461+2136j),(1104+2109j),(1778+1861j),(2354+1347j),(2720+631j),(2828-182j)
2025-05-21 03:01:24.952921,(-47-7j),(1550-1962j),(1193-2042j),(840-2052j),(499-1963j),(201-1796j),(-44-1570j),(-206-1322j),(-320-1036j),(-343-762j),(-294-502j),(-188-277j),(-45-105j),(134-1j),(327+40j),(506+9j),(643-79j),(728-199j),(764-339j),(743-481j),(674-615j),(562-719j),(421-764j),(277-760j),(140-714j),(27-635j),(-56-541j),(-101-417j),(-110-284j),(4+4j),(11-2j),(13-7j),(18469+0j),(-13056-32640j),(1152+0j),(-1+1j),(-123-761j),(279+804j),(451+795j),(619+714j),(755+593j),(851+448j),(897+307j),(909+175j),(869+77j),(815+10j),(760-20j),(719-3j),(699+34j),(701+99j),(730+172j),(796+253j),(901+317j),(1049+365j),(1229+379j),(1424+359j),(1627+285j),(1864+167j),(2009-17j),(2174-254j),(2294-550j),(2309-883j),(2232-1208j),(2089-1518j)
2025-05-21 03:01:25.300117,(29+25j),(-2491+499j),(-2212+905j),(-1878+1217j),(-1476+1403j),(-1072+1473j),(-689+1425j),(-351+1290j),(-101+1084j),(54+842j),(120+584j),(99+352j),(-4+158j),(-154+46j),(-330+12j),(-489+60j),(-609+172j),(-663+331j),(-649+498j),(-566+653j),(-425+772j),(-241+845j),(-50+835j),(130+763j),(271+640j),(364+492j),(395+337j),(360+181j),(271+49j),(-7-1j),(-3+8j),(6+0j),(18469+0j),(-12800-32640j),(1152+0j),(-7+12j),(-789-337j),(926+157j),(992-70j),(968-325j),(857-556j),(708-739j),(524-832j),(345-861j),(208-832j),(105-780j),(52-727j),(49-684j),(77-664j),(128-686j),(183-750j),(212-857j),(205-1011j),(145-1194j),(25-1382j),(-158-1569j),(-393-1710j),(-691-1779j),(-1044-1824j),(-1430-1757j),(-1826-1584j),(-2177-1299j),(-2432-901j),(-2587-463j)
2025-05-21 03:01:25.646147,(21-41j),(1686+1984j),(2081+1256j),(2202+499j),(2014-190j),(1625-695j),(1142-971j),(675-1040j),(292-921j),(57-699j),(-19-463j),(36-285j),(165-216j),(299-276j),(367-436j),(318-640j),(139-812j),(-133-891j),(-429-835j),(-685-656j),(-850-382j),(-899-48j),(-778+232j),(-564+433j),(-303+507j),(-74+469j),(96+361j),(210+218j),(267+60j),(-3-2j),(-8+8j),(-2+0j),(18469+0j),(-13056-32640j),(1152+0j),(-10-5j),(108-655j),(141+699j),(420+641j),(673+460j),(834+179j),(868-142j),(762-423j),(569-594j),(334-682j),(131-658j),(-1-575j),(-50-479j),(-34-414j),(21-411j),(72-489j),(70-639j),(-35-826j),(-260-1008j),(-597-1121j),(-1023-1096j),(-1470-890j),(-1872-480j),(-2135+90j),(-2207+805j),(-1981+1541j),(-1464+2195j),(-708+2615j),(162+2732j)
2025-05-21 03:01:25.996501,(-27-27j),(2484-61j),(2323-166j),(2131-240j),(1898-285j),(1645-299j),(1390-280j),(1132-235j),(894-172j),(651-86j),(424+16j),(219+130j),(48+258j),(-91+398j),(-193+539j),(-261+663j),(-285+766j),(-276+842j),(-246+892j),(-202+910j),(-145+902j),(-77+876j),(-13+804j),(50+713j),(90+601j),(113+487j),(128+375j),(150+269j),(184+166j),(5-1j),-1j,(-9+2j),(18469+0j),(-13056-32640j),(1152+0j),(11+3j),(-422+540j),(399-619j),(358-696j),(291-764j),(220-811j),(151-829j),(105-817j),(76-776j),(78-710j),(98-626j),(144-539j),(221-438j),(319-332j),(437-221j),(573-113j),(726-6j),(893+94j),(1079+185j),(1273+268j),(1469+341j),(1654+400j),(1848+438j),(2022+469j),(2226+465j),(2397+419j),(2514+338j),(2579+238j),(2608+143j)
2025-05-21 03:01:26.349021,(-17-6j),(2100-1392j),(1744-1471j),(1431-1515j),(1100-1451j),(818-1337j),(561-1155j),(388-934j),(256-734j),(203-494j),(204-271j),(258-72j),(348+74j),(467+168j),(621+210j),(752+182j),(868+103j),(926-18j),(936-162j),(896-307j),(805-446j),(682-561j),(507-626j),(323-638j),(158-595j),(12-522j),(-92-432j),(-187-353j),(-266-277j),(11+15j),(12-1j),(8-11j),(18469+0j),(-13568-32640j),(128+0j),(-6-5j),(-351-701j),(490+699j),(641+677j),(807+612j),(947+518j),(1066+401j),(1129+282j),(1162+188j),(1150+110j),(1126+66j),(1101+51j),(1080+65j),(1075+101j),(1083+170j),(1120+246j),(1180+330j),(1282+406j),(1397+455j),(1562+503j),(1726+512j),(1905+496j),(2065+425j),(2264+313j),(2448+140j),(2587-86j),(2659-363j),(2622-648j),(2536-932j)
2025-05-21 03:01:26.705497,(-26-13j),(2966-362j),(2582-1004j),(2080-1502j),(1476-1773j),(882-1820j),(373-1693j),(8-1477j),(-235-1151j),(-319-848j),(-278-589j),(-156-432j),(-19-390j),(81-454j),(110-573j),(47-714j),(-112-817j),(-332-835j),(-567-762j),(-759-582j),(-883-336j),(-912-56j),(-801+198j),(-619+385j),(-398+466j),(-197+460j),(-39+403j),(77+345j),(166+299j),(-7-5j),(10+1j),-2j,(18469+0j),(-13312-32640j),(1152+0j),(11+7j),(-760+609j),(618-858j),(364-1064j),(16-1183j),(-365-1179j),(-714-1052j),(-978-827j),(-1121-544j),(-1161-277j),(-1116-48j),(-1040+115j),(-956+205j),(-908+256j),(-899+282j),(-949+317j),(-1032+402j),(-1131+557j),(-1206+790j),(-1236+1099j),(-1173+1474j),(-978+1874j),(-628+2254j),(-136+2551j),(490+2720j),(1191+2682j),(1888+2414j),(2484+1903j),(2907+1214j)
2025-05-21 03:01:27.073970,14j,(-2334-1929j),(-2634-978j),(-2596-58j),(-2233+710j),(-1657+1215j),(-1016+1435j),(-483+1407j),(-15+1187j),(217+885j),(254+595j),(168+406j),(50+346j),(-26+401j),(-13+523j),(117+640j),(340+682j),(588+594j),(778+381j),(856+89j),(798-219j),(625-483j),(368-593j),(110-592j),(-89-488j),(-201-337j),(-238-193j),(-243-81j),(-239-1j),(2+6j),(3-6j),(-2-9j),(18469+0j),(-13312-32640j),(128+0j),(18+12j),(-608+569j),(412-835j),(79-1018j),(-339-1052j),(-756-911j),(-1085-617j),(-1254-221j),(-1275+171j),(-1123+537j),(-907+787j),(-667+938j),(-450+1015j),(-267+1044j),(-120+1058j),(14+1092j),(172+1159j),(382+1223j),(668+1279j),(1036+1271j),(1477+1141j),(1924+824j),(2331+291j),(2502-420j),(2451-1252j),(2075-2078j),(1370-2759j),(419-3120j),(-628-3115j)
2025-05-21 03:01:27.482147,(55+3j),(-771+2593j),(693+2428j),(1712+1560j),(2054+408j),(1738-631j),(1037-1219j),(272-1307j),(-315-1078j),(-599-701j),(-650-365j),(-625-148j),(-611+17j),(-616+205j),(-555+466j),(-317+739j),(95+854j),(550+708j),(844+293j),(845-221j),(539-641j),(47-758j),(-363-565j),(-531-185j),(-426+150j),(-173+298j),(51+249j),(143+112j),(118+10j),(-4+15j),(11+16j),(3-6j),(18469+0j),(-13312-32640j),(1152+0j),(7-15j),(489+659j),(-874-303j),(-984+284j),(-694+877j),(-69+1210j),(669+1088j),(1194+569j),(1305-160j),(1011-775j),(475-1124j),(-92-1130j),(-550-935j),(-838-600j),(-974-252j),(-1020+100j),(-985+474j),(-820+873j),(-452+1281j),(145+1522j),(932+1475j),(1689+947j),(2116+5j),(2025-1172j),(1248-2214j),(-116-2718j),(-1602-2324j),(-2629-1126j),(-2830+464j)
