timestamp,subcarrier_0,subcarrier_1,subcarrier_2,subcarrier_3,subcarrier_4,subcarrier_5,subcarrier_6,subcarrier_7,subcarrier_8,subcarrier_9,subcarrier_10,subcarrier_11,subcarrier_12,subcarrier_13,subcarrier_14,subcarrier_15,subcarrier_16,subcarrier_17,subcarrier_18,subcarrier_19,subcarrier_20,subcarrier_21,subcarrier_22,subcarrier_23,subcarrier_24,subcarrier_25,subcarrier_26,subcarrier_27,subcarrier_28,subcarrier_29,subcarrier_30,subcarrier_31,subcarrier_32,subcarrier_33,subcarrier_34,subcarrier_35,subcarrier_36,subcarrier_37,subcarrier_38,subcarrier_39,subcarrier_40,subcarrier_41,subcarrier_42,subcarrier_43,subcarrier_44,subcarrier_45,subcarrier_46,subcarrier_47,subcarrier_48,subcarrier_49,subcarrier_50,subcarrier_51,subcarrier_52,subcarrier_53,subcarrier_54,subcarrier_55,subcarrier_56,subcarrier_57,subcarrier_58,subcarrier_59,subcarrier_60,subcarrier_61,subcarrier_62,subcarrier_63
2025-05-21 03:08:10.644581,(24-31j),(347+2478j),(588+2106j),(718+1715j),(742+1328j),(663+986j),(512+699j),(365+521j),(123+361j),(-95+287j),(-301+271j),(-475+321j),(-603+428j),(-679+573j),(-685+736j),(-635+892j),(-511+1009j),(-336+1078j),(-130+1088j),(75+1034j),(264+919j),(434+756j),(544+536j),(584+287j),(561+36j),(476-195j),(328-380j),(150-533j),(-55-645j),(-5-11j),(-4+15j),(-3+8j),(18469+0j),(-14080-32640j),(1152+0j),(-16-18j),(1443-366j),(-1381+672j),(-1237+970j),(-981+1255j),(-652+1455j),(-278+1554j),(97+1516j),(445+1371j),(688+1072j),(852+723j),(901+318j),(803-94j),(561-469j),(202-765j),(-245-949j),(-750-1006j),(-1265-915j),(-1757-682j),(-2179-308j),(-2481+170j),(-2635+685j),(-2687+1265j),(-2508+1765j),(-2255+2245j),(-1880+2638j),(-1412+2896j),(-904+2988j),(-426+2938j)
2025-05-21 03:08:11.679236,(2-24j),(2338+1127j),(2190+781j),(2020+495j),(1785+263j),(1532+104j),(1260-14j),(1001-40j),(774-61j),(557-14j),(383+52j),(245+157j),(177+267j),(152+374j),(172+467j),(229+532j),(319+547j),(415+498j),(497+403j),(563+279j),(599+111j),(587-71j),(532-246j),(418-421j),(264-567j),(76-670j),(-104-727j),(-237-793j),(-356-856j),(6+17j),(11+9j),(1-1j),(18469+0j),(-13312-32640j),(1152+0j),(6+16j),(-1026-1147j),(1139+1031j),(1252+882j),(1370+630j),(1412+355j),(1384+75j),(1251-163j),(1050-354j),(787-477j),(482-521j),(168-481j),(-141-354j),(-418-136j),(-648+157j),(-812+519j),(-878+905j),(-866+1326j),(-737+1723j),(-543+2101j),(-253+2416j),(78+2634j),(469+2753j),(841+2803j),(1239+2786j),(1617+2651j),(1936+2439j),(2167+2144j),(2314+1820j)
2025-05-21 03:08:12.048716,(-11+53j),(-1980-2153j),(-1938-1998j),(-1879-1867j),(-1770-1707j),(-1626-1541j),(-1455-1388j),(-1294-1268j),(-1086-1124j),(-885-1008j),(-668-897j),(-450-799j),(-241-720j),(-36-668j),(158-639j),(330-620j),(476-614j),(593-619j),(674-620j),(735-630j),(773-639j),(762-666j),(756-622j),(720-595j),(674-557j),(628-504j),(586-443j),(552-381j),(521-319j),(-7-3j),(-2+2j),(-6+2j),(18469+0j),(-12544-32640j),(1152+0j),(-6-9j),(419+29j),(-405-10j),(-386+35j),(-366+99j),(-341+162j),(-308+205j),(-274+216j),(-245+183j),(-208+135j),(-187+54j),(-182-48j),(-196-176j),(-227-326j),(-273-496j),(-331-667j),(-402-843j),(-486-1025j),(-588-1210j),(-706-1403j),(-829-1589j),(-960-1774j),(-1101-1905j),(-1231-2045j),(-1395-2176j),(-1550-2262j),(-1693-2309j),(-1809-2309j),(-1906-2297j)
2025-05-21 03:08:12.411255,(-8+37j),(-1319-1819j),(-1353-1673j),(-1367-1549j),(-1340-1420j),(-1292-1289j),(-1211-1172j),(-1132-1064j),(-1023-978j),(-909-893j),(-802-821j),(-679-757j),(-552-723j),(-436-700j),(-327-696j),(-249-717j),(-187-726j),(-128-738j),(-100-751j),(-83-753j),(-81-751j),(-92-726j),(-108-691j),(-119-636j),(-120-572j),(-103-519j),(-84-460j),(-38-388j),(28-320j),(3+6j),(-1-2j),(-12+4j),(18469+0j),(-13056-32640j),(1152+0j),(10-4j),(-87+632j),(58-635j),(-7-616j),(-108-565j),(-209-492j),(-280-418j),(-313-340j),(-312-275j),(-284-218j),(-246-194j),(-192-201j),(-128-243j),(-61-310j),(1-407j),(40-529j),(69-667j),(81-824j),(59-995j),(19-1166j),(-49-1342j),(-137-1502j),(-257-1660j),(-368-1776j),(-521-1885j),(-682-1977j),(-855-2026j),(-996-2007j),(-1131-1995j)
2025-05-21 03:08:12.774298,(-40+3j),(1211-1934j),(708-2058j),(242-2069j),(-186-1933j),(-529-1712j),(-774-1444j),(-919-1150j),(-991-887j),(-983-647j),(-920-456j),(-836-323j),(-765-249j),(-720-212j),(-713-184j),(-729-144j),(-761-80j),(-793+19j),(-791+143j),(-754+282j),(-676+416j),(-551+526j),(-409+575j),(-261+578j),(-135+541j),(-47+486j),(6+420j),(28+356j),(18+303j),(-5+0j),(-1-1j),(-1+2j),(18469+0j),(-13056-32640j),(1152+0j),(5-6j),(141+547j),(-266-509j),(-391-413j),(-489-257j),(-534-73j),(-504+94j),(-428+218j),(-324+286j),(-256+294j),(-209+276j),(-204+255j),(-243+257j),(-305+301j),(-361+395j),(-390+538j),(-367+724j),(-274+929j),(-96+1130j),(167+1296j),(494+1393j),(856+1380j),(1231+1264j),(1596+1026j),(1916+692j),(2152+257j),(2240-250j),(2163-766j),(1968-1248j)
2025-05-21 03:08:13.136900,(-49+9j),(516-2188j),(-104-2143j),(-647-1938j),(-1053-1594j),(-1308-1178j),(-1416-766j),(-1419-388j),(-1326-75j),(-1186+168j),(-1035+342j),(-884+453j),(-768+535j),(-668+606j),(-576+689j),(-466+784j),(-320+871j),(-132+934j),(83+940j),(304+886j),(509+774j),(684+594j),(758+389j),(776+169j),(731-34j),(639-195j),(511-308j),(355-350j),(208-321j),(10+4j),(5-1j),(5+4j),(18469+0j),(-13056-32640j),(1152+0j),(-4+3j),(-547+39j),(532-211j),(428-386j),(228-517j),(-22-544j),(-249-459j),(-387-301j),(-429-143j),(-382-10j),(-308+48j),(-248+44j),(-249-2j),(-317-36j),(-443-22j),(-594+81j),(-712+282j),(-759+572j),(-678+913j),(-450+1249j),(-77+1513j),(405+1627j),(945+1559j),(1456+1309j),(1901+879j),(2199+292j),(2257-394j),(2073-1053j),(1696-1618j)
2025-05-21 03:08:13.501956,(-1+36j),(-1593-1535j),(-1859-1044j),(-1985-515j),(-1943-2j),(-1759+442j),(-1481+783j),(-1181+997j),(-839+1111j),(-545+1121j),(-310+1070j),(-138+977j),(-24+893j),(52+833j),(123+815j),(217+813j),(346+804j),(501+755j),(660+651j),(805+490j),(909+280j),(922+47j),(880-193j),(754-388j),(573-518j),(383-579j),(209-578j),(75-526j),(-2-448j),(8-3j),(4+5j),(1+2j),(18469+0j),(-13056-32640j),(1152+0j),(-6+1j),(149+560j),(-301-510j),(-445-380j),(-540-174j),(-545+62j),(-456+265j),(-306+387j),(-149+418j),(-36+389j),(25+330j),(33+281j),(4+275j),(-29+322j),(-33+420j),(32+552j),(181+681j),(410+762j),(694+760j),(1005+656j),(1295+428j),(1509+78j),(1617-356j),(1578-850j),(1400-1332j),(1064-1767j),(581-2081j),(6-2214j),(-601-2152j)
2025-05-21 03:08:13.866185,(-14-24j),(2482+1033j),(2417+991j),(2346+966j),(2235+931j),(2092+899j),(1939+868j),(1757+870j),(1584+832j),(1392+832j),(1180+837j),(960+845j),(756+875j),(564+921j),(387+977j),(234+1032j),(99+1082j),1120j,(-80+1151j),(-127+1174j),(-157+1181j),(-189+1178j),(-196+1143j),(-201+1084j),(-193+1009j),(-202+933j),(-206+851j),(-215+738j),(-236+608j),(-1-6j),(4-3j),(-6+1j),(18469+0j),(-12800-32640j),(1152+0j),(14+7j),(-496+185j),(515-178j),(496-190j),(426-238j),(345-274j),(271-297j),(205-281j),(174-255j),(153-182j),(170-101j),(200-25j),(273+63j),(370+154j),(480+253j),(604+335j),(739+415j),(891+495j),(1046+569j),(1213+643j),(1378+721j),(1529+794j),(1697+864j),(1842+911j),(2011+978j),(2153+1031j),(2274+1063j),(2356+1068j),(2430+1070j)
2025-05-21 03:08:14.241907,(21+43j),(-2681+229j),(-2368+1059j),(-1819+1724j),(-1094+2102j),(-345+2185j),(324+2013j),(843+1676j),(1143+1227j),(1260+784j),(1247+404j),(1144+118j),(1028-73j),(943-197j),(897-308j),(871-456j),(809-653j),(668-865j),(434-1051j),(123-1173j),(-234-1179j),(-587-1069j),(-886-829j),(-1075-486j),(-1123-103j),(-1041+246j),(-865+521j),(-629+684j),(-402+745j),(2-4j),(-1+1j),(1+2j),(18469+0j),(-12800-32640j),(1152+0j),(6+0j),(-385+386j),(243-456j),(57-481j),(-168-411j),(-330-236j),(-379-18j),(-308+163j),(-181+269j),(-33+247j),(45+170j),(41+76j),(-43+30j),(-159+67j),(-249+204j),(-246+409j),(-119+639j),(153+819j),(543+872j),(974+747j),(1371+431j),(1633-87j),(1675-728j),(1451-1386j),(964-1969j),(234-2358j),(-638-2425j),(-1488-2127j),(-2189-1535j)
2025-05-21 03:08:14.609062,(-22+2j),(1303-2070j),(868-2161j),(464-2172j),(95-2067j),(-210-1879j),(-437-1639j),(-588-1373j),(-644-1129j),(-625-897j),(-547-711j),(-434-590j),(-312-537j),(-208-551j),(-143-610j),(-128-694j),(-173-776j),(-267-832j),(-392-844j),(-528-810j),(-654-726j),(-757-601j),(-804-452j),(-808-292j),(-765-148j),(-693-36j),(-610+42j),(-532+89j),(-471+105j),(-9-5j),(2-4j),(-2+4j),(18469+0j),(-13056-32640j),(1152+0j),(-6-2j),(464-228j),(-395+303j),(-275+375j),(-110+421j),(73+415j),(238+349j),(347+237j),(386+95j),(360-20j),(280-112j),(165-150j),(43-120j),(-62-29j),(-132+119j),(-144+304j),(-83+507j),(52+700j),(262+859j),(532+966j),(844+996j),(1173+938j),(1495+774j),(1796+534j),(2039+203j),(2199-198j),(2241-640j),(2141-1081j),(1968-1489j)
