timestamp,subcarrier_0,subcarrier_1,subcarrier_2,subcarrier_3,subcarrier_4,subcarrier_5,subcarrier_6,subcarrier_7,subcarrier_8,subcarrier_9,subcarrier_10,subcarrier_11,subcarrier_12,subcarrier_13,subcarrier_14,subcarrier_15,subcarrier_16,subcarrier_17,subcarrier_18,subcarrier_19,subcarrier_20,subcarrier_21,subcarrier_22,subcarrier_23,subcarrier_24,subcarrier_25,subcarrier_26,subcarrier_27,subcarrier_28,subcarrier_29,subcarrier_30,subcarrier_31,subcarrier_32,subcarrier_33,subcarrier_34,subcarrier_35,subcarrier_36,subcarrier_37,subcarrier_38,subcarrier_39,subcarrier_40,subcarrier_41,subcarrier_42,subcarrier_43,subcarrier_44,subcarrier_45,subcarrier_46,subcarrier_47,subcarrier_48,subcarrier_49,subcarrier_50,subcarrier_51,subcarrier_52,subcarrier_53,subcarrier_54,subcarrier_55,subcarrier_56,subcarrier_57,subcarrier_58,subcarrier_59,subcarrier_60,subcarrier_61,subcarrier_62,subcarrier_63
2025-05-05 18:52:37.312877,(15-11j),(-324+2029j),(-140+1718j),(-18+1397j),(56+1039j),(68+673j),(12+291j),(-89-59j),(-260-384j),(-469-662j),(-707-883j),(-969-1047j),(-1228-1143j),(-1489-1169j),(-1726-1147j),(-1924-1062j),(-2074-931j),(-2155-767j),(-2185-598j),(-2160-428j),(-2103-266j),(-2019-111j),(-1851+8j),(-1665+104j),(-1462+160j),(-1262+189j),(-1072+188j),(-895+172j),(-732+144j),(1-4j),(2-15j),-9j,(18469+0j),(-11008-32640j),(1152+0j),(1-2j),(-127-203j),(101+235j),(76+266j),(44+290j),(8+307j),(-49+322j),(-125+336j),(-238+351j),(-348+376j),(-479+414j),(-624+476j),(-778+555j),(-922+651j),(-1070+758j),(-1213+881j),(-1342+1013j),(-1465+1162j),(-1567+1337j),(-1654+1524j),(-1702+1708j),(-1703+1886j),(-1681+2068j),(-1603+2207j),(-1497+2348j),(-1348+2448j),(-1156+2492j),(-948+2468j),(-743+2398j)
2025-05-05 18:52:38.290550,(21+19j),(-2110+483j),(-1756+563j),(-1388+591j),(-1019+544j),(-652+415j),(-319+211j),(-43-56j),(185-352j),(330-679j),(402-1012j),(394-1336j),(317-1617j),(178-1849j),(-8-2042j),(-222-2172j),(-451-2212j),(-670-2181j),(-855-2074j),(-1012-1937j),(-1123-1770j),(-1206-1559j),(-1222-1368j),(-1190-1149j),(-1115-945j),(-1002-761j),(-884-618j),(-768-493j),(-658-383j),(2-2j),(4-11j),(5-6j),(18469+0j),(-11008-32640j),(1152+0j),(-5-4j),(279-51j),(-279+61j),(-284+60j),(-300+46j),(-315+20j),(-331-24j),(-342-94j),(-372-181j),(-388-296j),(-437-415j),(-510-547j),(-602-686j),(-718-828j),(-853-964j),(-1003-1079j),(-1184-1184j),(-1375-1264j),(-1592-1324j),(-1824-1353j),(-2053-1343j),(-2257-1274j),(-2469-1174j),(-2620-1016j),(-2740-831j),(-2823-608j),(-2830-361j),(-2763-109j),(-2603+118j)
2025-05-05 18:52:38.628039,(-31-5j),(2010-622j),(1577-852j),(1117-930j),(686-844j),(337-620j),(122-294j),(73+81j),(168+418j),(413+694j),(752+858j),(1133+864j),(1511+725j),(1815+440j),(2041+55j),(2139-389j),(2069-844j),(1874-1265j),(1559-1596j),(1170-1818j),(759-1929j),(339-1939j),(-9-1812j),(-298-1609j),(-505-1356j),(-626-1088j),(-672-845j),(-662-621j),(-615-434j),(-3-3j),(-3-8j),(4-6j),(18469+0j),(-11008-32640j),(1152+0j),(-1-2j),(278-46j),(-276+68j),(-278+84j),(-284+98j),(-296+106j),(-323+104j),(-366+91j),(-419+78j),(-515+75j),(-628+100j),(-761+167j),(-904+277j),(-1035+447j),(-1137+671j),(-1186+936j),(-1162+1241j),(-1065+1578j),(-874+1924j),(-588+2237j),(-202+2476j),(264+2608j),(767+2622j),(1297+2511j),(1787+2260j),(2203+1881j),(2489+1387j),(2612+835j),(2557+276j)
2025-05-05 18:52:38.951892,(21-32j),(-253+2180j),(-164+1865j),(-79+1534j),(-8+1149j),(39+751j),(55+349j),(52-49j),(15-435j),(-43-798j),(-124-1130j),(-217-1410j),(-313-1641j),(-415-1831j),(-521-1984j),(-619-2086j),(-706-2131j),(-775-2124j),(-807-2074j),(-823-2000j),(-818-1904j),(-823-1766j),(-754-1639j),(-677-1473j),(-592-1308j),(-494-1132j),(-403-971j),(-321-822j),(-258-686j),(-2+1j),(16-4j),(14+1j),(18469+0j),(-11008-32640j),(1152+0j),(3+2j),(-251+155j),(249-131j),(255-94j),(266-43j),(274+25j),(268+111j),(250+220j),(225+346j),(167+483j),(114+635j),(53+804j),(-16+983j),(-91+1176j),(-174+1361j),(-262+1545j),(-350+1730j),(-433+1920j),(-513+2110j),(-587+2302j),(-657+2474j),(-706+2616j),(-732+2758j),(-733+2805j),(-723+2874j),(-688+2912j),(-629+2885j),(-547+2783j),(-463+2640j)
2025-05-05 18:52:39.282427,(12-15j),(-1097+1967j),(-845+1724j),(-615+1449j),(-399+1131j),(-204+773j),(-40+393j),(72+4j),(153-379j),(183-749j),(180-1093j),(144-1400j),(76-1660j),(-21-1868j),(-138-2037j),(-256-2152j),(-376-2209j),(-477-2206j),(-561-2154j),(-626-2072j),(-670-1956j),(-685-1786j),(-685-1662j),(-650-1488j),(-598-1296j),(-528-1119j),(-450-951j),(-382-800j),(-325-657j),(-1-2j),(10-3j),(10-1j),(18469+0j),(-11008-32640j),(1152+0j),(-2+8j),(-258-124j),(259+131j),(249+149j),(228+184j),(195+233j),(143+290j),(67+353j),(-30+407j),(-142+483j),(-266+559j),(-406+651j),(-560+746j),(-726+847j),(-894+952j),(-1060+1060j),(-1225+1177j),(-1385+1308j),(-1541+1443j),(-1690+1582j),(-1820+1718j),(-1907+1836j),(-1975+1966j),(-1991+2070j),(-1990+2177j),(-1942+2262j),(-1852+2305j),(-1704+2289j),(-1533+2236j)
2025-05-05 18:52:39.616453,(-28+17j),(546-2138j),(337-1856j),(157-1533j),(17-1171j),(-75-764j),(-106-358j),(-90+44j),(-15+416j),(108+769j),(278+1076j),(468+1318j),(663+1494j),(863+1610j),(1057+1687j),(1243+1706j),(1382+1653j),(1498+1574j),(1544+1442j),(1559+1306j),(1549+1173j),(1519+1020j),(1428+895j),(1298+745j),(1158+630j),(998+516j),(847+441j),(701+367j),(570+313j),(-1-2j),(-13+11j),(-10+3j),(18469+0j),(-11008-32640j),(1152+0j),(4-11j),(184+218j),(-180-239j),(-181-269j),(-183-300j),(-175-334j),(-148-365j),(-84-398j),(-10-438j),(96-472j),(211-518j),(338-582j),(490-654j),(644-744j),(802-840j),(963-944j),(1121-1060j),(1282-1202j),(1428-1361j),(1559-1534j),(1657-1712j),(1716-1884j),(1728-2033j),(1710-2204j),(1655-2366j),(1551-2485j),(1396-2554j),(1203-2547j),(990-2467j)
2025-05-05 18:52:39.964175,(13-22j),(1001+2051j),(994+1664j),(931+1285j),(800+906j),(600+543j),(334+220j),(39-62j),(-294-264j),(-637-404j),(-979-475j),(-1295-477j),(-1564-421j),(-1791-318j),(-1970-185j),(-2095-24j),(-2147+156j),(-2123+323j),(-2046+465j),(-1932+577j),(-1801+676j),(-1639+742j),(-1459+752j),(-1269+733j),(-1077+680j),(-907+607j),(-759+525j),(-634+450j),(-527+377j),(-1-6j),(-6-15j),(-1-15j),(18469+0j),(-11008-32640j),(1152+0j),(-4+5j),(-288-259j),(313+262j),(332+272j),(350+287j),(353+301j),(337+323j),(284+357j),(213+413j),(123+475j),(26+563j),(-78+672j),(-183+808j),(-286+968j),(-380+1138j),(-470+1327j),(-540+1529j),(-590+1754j),(-603+1988j),(-588+2219j),(-539+2441j),(-453+2633j),(-327+2803j),(-167+2904j),(18+2992j),(226+3030j),(444+2981j),(639+2835j),(806+2634j)
2025-05-05 18:52:40.331028,(39-14j),(-771+2269j),(-462+2002j),(-210+1676j),(-29+1298j),(89+887j),(114+470j),(77+65j),(-50-315j),(-242-644j),(-480-908j),(-746-1090j),(-1002-1194j),(-1259-1224j),(-1504-1203j),(-1720-1124j),(-1855-982j),(-1955-819j),(-1961-635j),(-1943-456j),(-1879-289j),(-1764-122j),(-1642-11j),(-1475+85j),(-1277+145j),(-1092+173j),(-912+176j),(-772+172j),(-647+166j),(-1+0j),(-6-7j),(3-7j),(18469+0j),(-11008-32640j),(1152+0j),(-4-5j),(207-432j),(-174+469j),(-147+502j),(-121+518j),(-116+523j),(-128+505j),(-170+467j),(-231+413j),(-326+352j),(-448+297j),(-602+259j),(-787+236j),(-992+238j),(-1203+260j),(-1417+301j),(-1634+378j),(-1849+489j),(-2060+647j),(-2253+843j),(-2393+1064j),(-2467+1300j),(-2472+1541j),(-2459+1782j),(-2367+2028j),(-2231+2269j),(-1995+2425j),(-1703+2496j),(-1401+2502j)
2025-05-05 18:52:40.699602,(-14-11j),(1226-803j),(935-783j),(652-717j),(371-611j),(105-457j),(-135-261j),(-350-34j),(-523+216j),(-650+480j),(-719+751j),(-740+1014j),(-714+1258j),(-649+1476j),(-543+1671j),(-405+1819j),(-238+1904j),(-62+1936j),(101+1916j),(251+1853j),(388+1768j),(533+1630j),(600+1471j),(656+1291j),(671+1090j),(646+896j),(598+715j),(539+548j),(470+394j),(-1+4j),(-13+2j),(-8+3j),(18469+0j),(-11520-32640j),(1152+0j),(4-3j),(101+253j),(-154-246j),(-192-223j),(-211-178j),(-211-116j),(-190-38j),(-148+55j),(-80+164j),(7+265j),(124+363j),(270+456j),(431+537j),(605+603j),(789+645j),(976+670j),(1168+673j),(1358+657j),(1540+610j),(1711+542j),(1870+450j),(1989+333j),(2070+185j),(2127+46j),(2140-114j),(2107-288j),(2023-460j),(1884-605j),(1706-703j)
2025-05-05 18:52:41.080914,(-16-4j),(1385-364j),(1097-444j),(807-477j),(508-458j),(210-385j),(-74-262j),(-332-103j),(-550+106j),(-721+345j),(-839+605j),(-901+866j),(-897+1112j),(-847+1342j),(-750+1547j),(-614+1716j),(-439+1825j),(-243+1881j),(-52+1869j),(131+1822j),(294+1731j),(456+1629j),(548+1448j),(613+1257j),(640+1060j),(628+871j),(587+696j),(530+532j),(453+382j),(-5+0j),(-7+8j),(-11+5j),(18469+0j),(-11520-32640j),(1152+0j),(3+1j),(-80+238j),(48-272j),(7-281j),(-39-262j),(-84-216j),(-121-141j),(-150-40j),(-152+82j),(-146+230j),(-103+383j),(-31+541j),(65+693j),(187+840j),(331+971j),(493+1082j),(673+1172j),(864+1229j),(1066+1270j),(1270+1271j),(1470+1232j),(1642+1152j),(1805+1045j),(1908+891j),(1996+721j),(2036+526j),(2021+315j),(1936+106j),(1809-74j)
