timestamp,subcarrier_0,subcarrier_1,subcarrier_2,subcarrier_3,subcarrier_4,subcarrier_5,subcarrier_6,subcarrier_7,subcarrier_8,subcarrier_9,subcarrier_10,subcarrier_11,subcarrier_12,subcarrier_13,subcarrier_14,subcarrier_15,subcarrier_16,subcarrier_17,subcarrier_18,subcarrier_19,subcarrier_20,subcarrier_21,subcarrier_22,subcarrier_23,subcarrier_24,subcarrier_25,subcarrier_26,subcarrier_27,subcarrier_28,subcarrier_29,subcarrier_30,subcarrier_31,subcarrier_32,subcarrier_33,subcarrier_34,subcarrier_35,subcarrier_36,subcarrier_37,subcarrier_38,subcarrier_39,subcarrier_40,subcarrier_41,subcarrier_42,subcarrier_43,subcarrier_44,subcarrier_45,subcarrier_46,subcarrier_47,subcarrier_48,subcarrier_49,subcarrier_50,subcarrier_51,subcarrier_52,subcarrier_53,subcarrier_54,subcarrier_55,subcarrier_56,subcarrier_57,subcarrier_58,subcarrier_59,subcarrier_60,subcarrier_61,subcarrier_62,subcarrier_63
2025-05-05 19:02:38.266086,(11+7j),(-1215+870j),(-975+816j),(-733+746j),(-499+643j),(-269+504j),(-56+328j),(152+120j),(295-117j),(406-378j),(466-656j),(472-922j),(422-1177j),(321-1414j),(172-1606j),(-16-1764j),(-231-1847j),(-458-1872j),(-667-1822j),(-871-1747j),(-1049-1605j),(-1205-1442j),(-1306-1223j),(-1358-984j),(-1350-732j),(-1291-499j),(-1189-287j),(-1045-103j),(-865+40j),(8-10j),(2-12j),(6-12j),(18469+0j),(-11776-32640j),(1152+0j),(-1+3j),(-218-312j),(311+311j),(384+280j),(434+222j),(459+140j),(464+33j),(441-102j),(386-261j),(293-418j),(155-578j),(-24-728j),(-235-859j),(-476-955j),(-738-1022j),(-1007-1039j),(-1270-1013j),(-1532-952j),(-1779-843j),(-1989-689j),(-2152-503j),(-2257-292j),(-2297-68j),(-2303+136j),(-2266+328j),(-2175+507j),(-2036+657j),(-1857+764j),(-1659+833j)
2025-05-05 19:02:39.240160,(-17+4j),(712-1745j),(-526-1542j),(-1189-681j),(-1066+243j),(-431+670j),(151+476j),(271-8j),(-104-266j),(-527-23j),(-549+577j),(14+1052j),(894+939j),(1499+110j),(1330-1024j),(343-1797j),(-988-1665j),(-1895-619j),(-1851+793j),(-870+1815j),(535+1898j),(1582+1015j),(1788-278j),(1065-1304j),(-74-1521j),(-952-945j),(-1158-46j),(-746+645j),(-75+799j),(-5-5j),(-4+8j),(-4+1j),(18469+0j),(-11776-32640j),(1152+0j),-1j,(320+59j),(-297+196j),(-99+360j),(155+341j),(316+157j),(299-67j),(134-183j),(-24-118j),(-6+32j),(180+59j),(343-164j),(234-541j),(-240-773j),(-875-559j),(-1251+170j),(-989+1099j),(-49+1689j),(1184+1483j),(2047+406j),(1955-1079j),(852-2188j),(-761-2282j),(-2128-1312j),(-2504+355j),(-1698+1881j),(-98+2474j),(1455+1882j),(2193+500j)
2025-05-05 19:02:39.592967,(-15+8j),(924-1545j),(790-1368j),(648-1201j),(483-1009j),(308-810j),(135-591j),(-49-351j),(-219-124j),(-378+120j),(-517+372j),(-638+621j),(-738+858j),(-806+1078j),(-849+1301j),(-861+1505j),(-834+1654j),(-776+1775j),(-701+1854j),(-615+1902j),(-518+1922j),(-401+1962j),(-280+1842j),(-164+1731j),(-49+1583j),(53+1400j),(136+1217j),(209+1016j),(267+808j),(-5+3j),(-9-6j),(-5-2j),(18469+0j),(-11776-32640j),(1152+0j),(-8+0j),(223-383j),(-184+409j),(-151+406j),(-126+368j),(-94+309j),(-45+236j),(24+151j),(113+51j),(225-67j),(343-205j),(468-360j),(593-530j),(721-703j),(842-875j),(954-1053j),(1054-1230j),(1147-1400j),(1230-1567j),(1294-1716j),(1333-1834j),(1351-1920j),(1369-1978j),(1344-2009j),(1341-2039j),(1309-2015j),(1262-1976j),(1197-1903j),(1132-1798j)
2025-05-05 19:02:39.925342,(-7+11j),(-125-1478j),(-399-1184j),(-547-853j),(-574-514j),(-472-209j),(-264+22j),(6+153j),(307+143j),(581+2j),(775-254j),(850-577j),(795-925j),(599-1239j),(295-1484j),(-91-1613j),(-511-1605j),(-900-1444j),(-1222-1183j),(-1449-843j),(-1563-457j),(-1576-56j),(-1457+310j),(-1236+609j),(-941+812j),(-627+902j),(-325+895j),(-62+815j),(145+669j),(-5-2j),(-12+9j),(-5+7j),(18469+0j),(-11520-32640j),(1152+0j),(1+3j),(-42-283j),(124+237j),(171+169j),(180+86j),(149+5j),(80-71j),(-35-129j),(-188-147j),(-367-100j),(-542+31j),(-685+246j),(-754+532j),(-726+859j),(-576+1186j),(-310+1459j),(53+1663j),(488+1750j),(958+1714j),(1412+1538j),(1798+1225j),(2075+802j),(2236+310j),(2236-192j),(2132-684j),(1891-1120j),(1535-1449j),(1111-1654j),(668-1721j)
2025-05-05 19:02:40.266336,(-15-6j),(1266-1214j),(1044-1106j),(843-995j),(643-860j),(446-697j),(263-506j),(95-291j),(-42-75j),(-151+153j),(-231+387j),(-280+619j),(-289+838j),(-260+1041j),(-194+1212j),(-102+1352j),(14+1443j),(143+1489j),(270+1496j),(400+1460j),(519+1383j),(642+1295j),(707+1136j),(766+972j),(787+784j),(773+600j),(730+425j),(649+271j),(545+145j),(-3+9j),(-2+11j),(-8+5j),(18469+0j),(-12032-32640j),(1152+0j),(4-10j),(139-23j),(-144+26j),(-138+13j),(-127-5j),(-111-28j),(-90-39j),(-51-33j),(7-26j),(105+20j),(230+49j),(383+70j),(558+80j),(745+72j),(942+44j),(1148-1j),(1347-72j),(1539-169j),(1708-288j),(1853-420j),(1959-555j),(2030-690j),(2077-821j),(2075-952j),(2051-1068j),(1989-1165j),(1884-1236j),(1756-1274j),(1615-1283j)
2025-05-05 19:02:40.611886,(15+11j),(-1520-463j),(-1329-288j),(-1129-129j),(-909+5j),(-660+108j),(-405+176j),(-149+220j),(108+214j),(350+176j),(576+101j),(767-7j),(920-137j),(1035-288j),(1114-453j),(1147-619j),(1129-777j),(1045-910j),(933-1020j),(791-1094j),(635-1138j),(459-1148j),(296-1109j),(125-1032j),(-27-911j),(-145-774j),(-226-622j),(-265-475j),(-264-338j),(3-2j),(10-3j),(8+4j),(18469+0j),(-12032-32640j),(1152+0j),(-6-4j),(39-142j),(-24+172j),(1+192j),(37+204j),(87+196j),(150+162j),(225+90j),(294-20j),(354-179j),(389-364j),(399-574j),(377-799j),(316-1028j),(212-1255j),(72-1462j),(-102-1651j),(-303-1806j),(-524-1928j),(-760-2013j),(-991-2033j),(-1204-1986j),(-1400-1905j),(-1566-1787j),(-1702-1647j),(-1798-1483j),(-1841-1284j),(-1823-1075j),(-1758-861j)
2025-05-05 19:02:40.970792,(-19+12j),(283-1375j),(190-1102j),(111-830j),(43-537j),(-7-231j),(-32+76j),(-36+362j),(-14+655j),(28+916j),(82+1152j),(151+1360j),(228+1521j),(312+1657j),(399+1770j),(485+1840j),(563+1864j),(634+1862j),(677+1806j),(712+1750j),(740+1687j),(791+1592j),(768+1478j),(757+1337j),(736+1189j),(703+1041j),(655+891j),(606+753j),(554+620j),(-5-1j),(-13+6j),(-15-6j),(18469+0j),(-11264-32640j),(1152+0j),(-4+3j),(-56-216j),(114+173j),(168+120j),(219+61j),(275-6j),(338-83j),(415-173j),(486-277j),(576-397j),(653-526j),(732-672j),(813-830j),(880-986j),(946-1147j),(1003-1300j),(1052-1444j),(1091-1581j),(1126-1734j),(1137-1872j),(1133-1995j),(1098-2065j),(1033-2094j),(996-2162j),(914-2162j),(823-2143j),(711-2079j),(593-1954j),(496-1800j)
2025-05-05 19:02:41.345792,(3+8j),(-646-1186j),(-582-883j),(-478-608j),(-331-351j),(-145-119j),(76+75j),(318+220j),(577+315j),(837+356j),(1080+352j),(1300+303j),(1492+207j),(1648+74j),(1762-82j),(1836-247j),(1850-422j),(1822-586j),(1742-740j),(1636-874j),(1505-986j),(1329-1058j),(1180-1116j),(990-1121j),(801-1089j),(619-1034j),(460-944j),(330-851j),(229-748j),(2+6j),(8+5j),(7+3j),(18469+0j),(-11264-32640j),(1152+0j),-4j,(323+35j),(-298-2j),(-261+41j),(-205+91j),(-126+144j),(-18+184j),(125+203j),(296+200j),(476+151j),(667+69j),(854-56j),(1039-222j),(1191-428j),(1310-663j),(1392-915j),(1429-1186j),(1415-1459j),(1347-1732j),(1231-1981j),(1065-2189j),(851-2337j),(609-2390j),(360-2460j),(114-2439j),(-112-2356j),(-308-2211j),(-463-2002j),(-584-1751j)
2025-05-05 19:02:41.723189,(20+6j),(-1277+603j),(-884+678j),(-522+626j),(-223+464j),(-18+216j),(76-81j),(41-388j),(-83-647j),(-317-851j),(-623-958j),(-952-956j),(-1264-827j),(-1542-605j),(-1760-304j),(-1880+62j),(-1875+456j),(-1757+836j),(-1545+1156j),(-1258+1409j),(-923+1585j),(-560+1689j),(-196+1641j),(137+1521j),(404+1313j),(592+1070j),(698+816j),(733+576j),(712+362j),(-1-2j),(-4+10j),(-2+7j),(18469+0j),(-11008-32640j),(1152+0j),(-5+8j),(-173+236j),(99-240j),(25-221j),(-47-174j),(-107-91j),(-131+29j),(-98+179j),(16+329j),(188+457j),(431+520j),(719+501j),(1022+381j),(1299+147j),(1512-190j),(1626-598j),(1612-1050j),(1472-1508j),(1196-1943j),(793-2300j),(286-2524j),(-276-2581j),(-815-2483j),(-1326-2234j),(-1743-1876j),(-2028-1411j),(-2160-900j),(-2117-389j),(-1928+48j)
2025-05-05 19:02:42.114944,(13-21j),(580+1330j),(691+892j),(655+493j),(481+153j),(203-77j),(-138-170j),(-485-103j),(-776+71j),(-968+372j),(-1036+740j),(-971+1126j),(-767+1471j),(-449+1737j),(-53+1908j),(385+1948j),(821+1856j),(1201+1629j),(1503+1319j),(1697+947j),(1797+551j),(1803+128j),(1680-232j),(1464-550j),(1180-781j),(874-915j),(571-951j),(302-922j),(72-831j),(8+1j),(7+1j),(4-2j),(18469+0j),(-11008-32640j),(1152+0j),(9-6j),(91+210j),(-122-133j),(-125-50j),(-92+31j),(-17+99j),(97+143j),(252+137j),(433+67j),(592-88j),(710-321j),(756-624j),(703-965j),(527-1311j),(228-1611j),(-176-1820j),(-652-1930j),(-1163-1882j),(-1680-1687j),(-2153-1335j),(-2492-839j),(-2677-254j),(-2678+365j),(-2517+963j),(-2192+1477j),(-1732+1874j),(-1173+2087j),(-614+2120j),(-106+1995j)
