timestamp,subcarrier_0,subcarrier_1,subcarrier_2,subcarrier_3,subcarrier_4,subcarrier_5,subcarrier_6,subcarrier_7,subcarrier_8,subcarrier_9,subcarrier_10,subcarrier_11,subcarrier_12,subcarrier_13,subcarrier_14,subcarrier_15,subcarrier_16,subcarrier_17,subcarrier_18,subcarrier_19,subcarrier_20,subcarrier_21,subcarrier_22,subcarrier_23,subcarrier_24,subcarrier_25,subcarrier_26,subcarrier_27,subcarrier_28,subcarrier_29,subcarrier_30,subcarrier_31,subcarrier_32,subcarrier_33,subcarrier_34,subcarrier_35,subcarrier_36,subcarrier_37,subcarrier_38,subcarrier_39,subcarrier_40,subcarrier_41,subcarrier_42,subcarrier_43,subcarrier_44,subcarrier_45,subcarrier_46,subcarrier_47,subcarrier_48,subcarrier_49,subcarrier_50,subcarrier_51,subcarrier_52,subcarrier_53,subcarrier_54,subcarrier_55,subcarrier_56,subcarrier_57,subcarrier_58,subcarrier_59,subcarrier_60,subcarrier_61,subcarrier_62,subcarrier_63
2025-05-20 13:58:59.362605,(-38+26j),(12-2838j),(-340-2946j),(-670-2972j),(-965-2886j),(-1219-2717j),(-1403-2486j),(-1515-2202j),(-1571-1929j),(-1536-1625j),(-1429-1322j),(-1241-1030j),(-1010-792j),(-738-607j),(-439-483j),(-127-413j),(174-404j),(445-450j),(680-530j),(865-652j),(1007-789j),(1104-946j),(1145-1089j),(1126-1207j),(1062-1297j),(980-1370j),(877-1410j),(738-1440j),(586-1460j),(-9+10j),(4+13j),(-2+8j),(18469+0j),(-12544-32640j),(1152+0j),5j,(-612-1047j),(629+899j),(600+744j),(509+560j),(351+394j),(146+273j),(-94+209j),(-327+219j),(-529+287j),(-702+395j),(-825+537j),(-883+682j),(-874+824j),(-810+949j),(-691+1028j),(-543+1067j),(-364+1068j),(-160+1006j),(68+892j),(300+701j),(509+456j),(683+153j),(837-204j),(938-607j),(973-1051j),(918-1487j),(784-1898j),(582-2284j)
2025-05-20 13:59:00.323370,(-35-6j),(1381-2470j),(-200-2931j),(-1786-2443j),(-2793-1114j),(-2896+512j),(-2110+1861j),(-803+2554j),(573+2382j),(1527+1583j),(1825+535j),(1543-341j),(967-800j),(422-835j),(120-640j),(79-466j),(151-481j),(128-674j),(-134-902j),(-615-940j),(-1145-639j),(-1475-11j),(-1398+775j),(-870+1426j),(-47+1698j),(808+1492j),(1418+884j),(1634+95j),(1457-670j),(-6+2j),0j,(-5-2j),(18469+0j),(-12544-32640j),(1152+0j),(-8-6j),(711-1019j),(-160+1116j),(325+929j),(585+519j),(535+140j),(330-14j),(200+65j),(278+188j),(535+143j),(732-151j),(686-620j),(303-1011j),(-297-1104j),(-872-798j),(-1161-203j),(-1044+462j),(-550+914j),(97+955j),(600+582j),(709-23j),(371-524j),(-257-629j),(-821-257j),(-999+518j),(-560+1324j),(431+1705j),(1573+1328j),(2348+258j)
2025-05-20 13:59:00.672357,(-43+14j),(36-2818j),(-968-2791j),(-1879-2365j),(-2557-1623j),(-2886-690j),(-2851+247j),(-2483+1099j),(-1865+1633j),(-1157+1907j),(-481+1897j),(53+1632j),(368+1242j),(456+851j),(366+575j),(180+447j),(8+489j),(-77+662j),(-29+877j),(187+1075j),(515+1171j),(919+1123j),(1299+885j),(1582+504j),(1671+14j),(1604-473j),(1389-907j),(1061-1234j),(676-1457j),(-9+15j),(1+5j),(2+11j),(18469+0j),(-12544-32640j),(1152+0j),(-7+5j),(-157-1277j),(440+1074j),(624+810j),(662+474j),(558+218j),(351+99j),(170+154j),(102+324j),(181+498j),(391+609j),(677+582j),(952+396j),(1120+70j),(1125-317j),(958-668j),(637-922j),(238-1026j),(-180-940j),(-509-662j),(-681-241j),(-612+221j),(-331+625j),(165+845j),(763+823j),(1356+487j),(1756-152j),(1828-948j),(1562-1754j)
2025-05-20 13:59:01.010398,(5-32j),(2524+1209j),(2476-1538j),(49-2996j),(-2469-1676j),(-2706+1123j),(-537+2759j),(1859+1892j),(2399-452j),(902-1997j),(-953-1651j),(-1586-177j),(-886+909j),(82+947j),(489+456j),(453+129j),(479+0j),(563-331j),(246-836j),(-590-911j),(-1272-108j),(-987+1082j),(327+1531j),(1490+660j),(1431-843j),(141-1661j),(-1255-1060j),(-1571+410j),(-555+1492j),(-5-13j),(-11-7j),(5+6j),(18469+0j),(-12544-32640j),(128+0j),(6-9j),(1041+649j),(-1024+418j),(-225+919j),(479+579j),(536+5j),(258-193j),(183-157j),(192-326j),(-143-579j),(-722-322j),(-822+488j),(-72+1077j),(927+704j),(1125-412j),(257-1163j),(-832-799j),(-1037+300j),(-209+957j),(693+527j),(639-414j),(-226-668j),(-725+115j),(-116+905j),(1027+546j),(1175-871j),(-250-1742j),(-1914-757j),(-1868+1435j)
2025-05-20 13:59:01.358828,(39+19j),(-2554+1291j),(-2519+1555j),(-2456+1812j),(-2291+1979j),(-2116+2108j),(-1882+2147j),(-1645+2147j),(-1415+2056j),(-1186+1902j),(-966+1698j),(-779+1443j),(-630+1147j),(-525+852j),(-477+542j),(-459+228j),(-487-76j),(-549-338j),(-645-586j),(-754-769j),(-869-925j),(-1016-1038j),(-1107-1094j),(-1196-1104j),(-1265-1086j),(-1315-1038j),(-1349-976j),(-1369-886j),(-1392-783j),(-2+1j),(11+7j),(6-5j),(18469+0j),(-12544-32640j),(1152+0j),(4-5j),(110+1241j),(-167-1114j),(-196-969j),(-209-766j),(-153-544j),(-42-326j),(123-144j),(335-5j),(519+73j),(705+106j),(882+95j),(1004+42j),(1099-41j),(1131-140j),(1109-249j),(1039-350j),(919-458j),(736-534j),(522-606j),(243-646j),(-59-646j),(-371-608j),(-740-527j),(-1109-387j),(-1466-204j),(-1800+36j),(-2066+323j),(-2311+627j)
2025-05-20 13:59:01.715509,(14+50j),(-2805-141j),(-2892+314j),(-2878+773j),(-2731+1185j),(-2497+1534j),(-2171+1770j),(-1807+1937j),(-1432+1957j),(-1070+1901j),(-745+1744j),(-483+1523j),(-303+1234j),(-214+926j),(-219+633j),(-300+364j),(-447+136j),(-637-10j),(-855-103j),(-1073-108j),(-1270-62j),(-1438+54j),(-1543+212j),(-1586+389j),(-1570+573j),(-1495+739j),(-1395+901j),(-1231+1053j),(-1037+1187j),(5-6j),(-6-9j),(-10-6j),(18469+0j),(-12544-32640j),(1152+0j),(-6+5j),(-781-921j),(820+725j),(792+539j),(672+351j),(490+230j),(263+182j),(44+229j),(-142+364j),(-249+514j),(-292+707j),(-257+893j),(-152+1044j),(7+1144j),(186+1160j),(370+1119j),(535+996j),(680+815j),(768+575j),(801+295j),(746-21j),(613-349j),(381-668j),(78-918j),(-319-1126j),(-771-1246j),(-1256-1249j),(-1733-1116j),(-2188-894j)
2025-05-20 13:59:02.082641,(10-45j),(2014+1996j),(2332+1780j),(2587+1523j),(2719+1198j),(2789+878j),(2729+562j),(2607+258j),(2406+15j),(2148-163j),(1837-300j),(1516-345j),(1192-308j),(891-210j),(636-48j),(415+166j),(268+399j),(184+649j),(149+890j),(186+1101j),(253+1281j),(389+1435j),(517+1512j),(665+1532j),(814+1483j),(931+1414j),(1029+1322j),(1087+1231j),(1136+1158j),(-2-8j),(-1+3j),(-3+1j),(18469+0j),(-12544-32640j),(1152+0j),(-2-11j),(1024+685j),(-932-587j),(-825-494j),(-681-341j),(-475-237j),(-252-194j),(-7-231j),(188-328j),(332-481j),(415-655j),(432-829j),(382-977j),(279-1096j),(135-1145j),(-22-1150j),(-182-1102j),(-341-985j),(-473-793j),(-604-546j),(-672-256j),(-685+81j),(-607+435j),(-495+802j),(-291+1176j),(7+1500j),(367+1783j),(774+1962j),(1193+2082j)
2025-05-20 13:59:02.459598,(-50-19j),(2310-1603j),(2213-1902j),(2071-2147j),(1857-2301j),(1627-2399j),(1378-2399j),(1121-2370j),(895-2211j),(685-2024j),(494-1775j),(361-1485j),(282-1160j),(258-834j),(297-525j),(373-229j),(493+44j),(637+273j),(800+457j),(972+586j),(1136+673j),(1297+706j),(1437+709j),(1529+666j),(1585+591j),(1623+512j),(1614+409j),(1572+248j),(1505+63j),(-7-5j),(-8+8j),6j,(18469+0j),(-12544-32640j),(128+0j),(-11-11j),(131-1116j),1054j,(83+942j),(112+743j),(73+517j),(-36+304j),(-192+121j),(-391-24j),(-569-97j),(-774-118j),(-952-97j),(-1078-16j),(-1160+91j),(-1186+204j),(-1146+330j),(-1062+456j),(-923+560j),(-733+639j),(-493+699j),(-208+731j),(111+709j),(446+633j),(791+510j),(1156+328j),(1488+90j),(1789-204j),(2019-550j),(2204-893j)
2025-05-20 13:59:02.840698,(1-45j),(2408+1545j),(2839+831j),(3004+7j),(2868-825j),(2443-1527j),(1818-2028j),(1112-2294j),(379-2257j),(-249-1986j),(-689-1530j),(-892-990j),(-865-474j),(-646-62j),(-313+181j),(67+245j),(414+128j),(662-118j),(778-456j),(740-797j),(582-1112j),(293-1341j),(-41-1496j),(-422-1507j),(-785-1408j),(-1100-1205j),(-1346-916j),(-1426-588j),(-1387-300j),(8+3j),(6-1j),(-7+3j),(18469+0j),(-12800-32640j),(1152+0j),(-2+6j),(-537-1009j),(761+828j),(931+530j),(951+91j),(762-317j),(437-590j),(49-682j),(-351-622j),(-618-383j),(-778-84j),(-809+245j),(-723+541j),(-525+777j),(-266+886j),(1+893j),(232+782j),(394+601j),(440+370j),(362+158j),(165+5j),(-100-25j),(-371+114j),(-604+394j),(-692+825j),(-575+1314j),(-228+1763j),(328+2070j),(1016+2171j)
2025-05-20 13:59:03.239517,(-3-48j),(2394+1988j),(2650+1825j),(2834+1581j),(2891+1269j),(2867+939j),(2739+601j),(2574+277j),(2242-12j),(1883-247j),(1479-425j),(1021-517j),(571-543j),(133-491j),(-269-383j),(-640-222j),(-929-31j),(-1161+194j),(-1324+401j),(-1433+612j),(-1504+801j),(-1549+972j),(-1494+1115j),(-1433+1214j),(-1343+1272j),(-1230+1307j),(-1126+1328j),(-1003+1343j),(-891+1353j),(7-3j),(-7-20j),(-3-12j),(18469+0j),(-12544-32640j),(1152+0j),(-7+3j),(1012-193j),(-832+273j),(-628+312j),(-393+280j),(-161+202j),(46+63j),(220-98j),(345-279j),(421-432j),(465-580j),(484-704j),(477-804j),(452-853j),(412-876j),(366-865j),(313-807j),(255-714j),(200-577j),(158-381j),(132-145j),(146+141j),(181+458j),(318+786j),(486+1127j),(735+1465j),(1032+1734j),(1371+1928j),(1715+2048j)
